index,value
712802,46.0
712803,46.0
712804,46.0
712805,46.0
712806,46.0
712810,46.0
712811,46.0
712870,46.0
712880,46.0
712890,46.0
713601,59.5
713602,59.5
713603,59.5
713604,59.5
713605,59.5
713606,59.5
713607,59.5
713609,46.0
713610,59.5
713611,46.0
713612,46.0
713614,46.0
713615,46.0
713616,46.0
713618,46.0
713619,46.0
713620,46.0
713621,46.0
713622,46.0
713623,46.0
713624,46.0
713625,46.0
713626,46.0
713627,46.0
713628,46.0
713629,46.0
713630,46.0
713631,46.0
713632,46.0
713633,59.5
713634,59.5
713635,46.0
713636,46.0
713638,46.0
713639,59.5
713640,59.5
713641,59.5
713642,46.0
713643,46.0
713644,59.5
713645,59.5
713646,59.5
713647,46.0
713648,46.0
713649,59.5
713650,59.5
713651,59.5
713652,46.0
713653,46.0
713654,46.0
713655,59.5
713661,46.0
713801,59.5
713802,59.5
713803,59.5
713804,59.5
713805,59.5
713806,59.5
713807,59.5
713808,59.5
713809,59.5
713810,59.5
713811,59.5
713812,59.5
713813,59.5
713815,59.5
713817,59.5
713818,59.5
713819,59.5
713820,59.5
713821,59.5
713822,59.5
713823,59.5
713824,59.5
713826,59.5
713827,59.5
713828,59.5
713829,59.5
713830,59.5
713831,59.5
713832,59.5
713833,59.5
713834,59.5
713835,59.5
713836,59.5
713901,117.89999389648438
713902,117.89999389648438
713903,117.89999389648438
713904,117.89999389648438
713905,117.89999389648438
713908,117.89999389648438
713909,117.89999389648438
713910,117.89999389648438
713911,117.89999389648438
713912,117.89999389648438
713913,117.89999389648438
713915,117.89999389648438
713916,117.89999389648438
713917,117.89999389648438
713919,117.89999389648438
713920,117.89999389648438
713921,117.89999389648438
713922,117.89999389648438
713923,117.89999389648438
713924,117.89999389648438
713925,117.89999389648438
713926,117.89999389648438
713927,117.89999389648438
713928,117.89999389648438
713929,117.89999389648438
713930,117.89999389648438
716001,59.5
716002,59.5
716003,59.5
716004,59.5
716005,59.5
716006,59.5
716007,59.5
716008,59.5
716009,59.5
716010,59.5
716011,59.5
716012,59.5
716013,59.5
716014,59.5
716015,59.5
716016,59.5
716017,59.5
716018,59.5
716019,59.5
716020,59.5
716021,59.5
716022,59.5
716023,59.5
716024,59.5
716025,59.5
716026,59.5
716027,59.5
716028,59.5
716029,59.5
716030,59.5
716032,59.5
716033,59.5
716034,59.5
716035,59.5
716036,59.5
716037,59.5
716038,59.5
716039,59.5
716040,59.5
716041,59.5
716042,59.5
716043,59.5
716044,59.5
716045,59.5
716046,59.5
716047,59.5
716048,59.5
716049,59.5
716050,59.5
716051,59.5
716052,59.5
716053,59.5
716054,59.5
716055,59.5
716056,59.5
716061,59.5
716062,59.5
716063,59.5
716201,59.5
716202,59.5
716203,59.5
716204,59.5
716205,59.5
716206,59.5
716207,59.5
716208,59.5
716209,59.5
716210,59.5
716211,59.5
716212,59.5
716213,59.5
716214,59.5
716215,59.5
716216,59.5
716217,59.5
716218,59.5
716219,59.5
716220,59.5
716222,59.5
716223,59.5
716224,59.5
716301,67.9000015258789
716302,67.9000015258789
716303,67.9000015258789
716306,67.9000015258789
716307,67.9000015258789
716308,67.9000015258789
716309,67.9000015258789
716310,67.9000015258789
716311,67.9000015258789
716312,67.9000015258789
716313,67.9000015258789
716314,67.9000015258789
716315,67.9000015258789
716316,67.9000015258789
716317,67.9000015258789
716318,108.89999389648438
716319,67.9000015258789
716320,67.9000015258789
716321,67.9000015258789
716322,67.9000015258789
716323,67.9000015258789
716324,67.9000015258789
716325,67.9000015258789
716326,67.9000015258789
716327,67.9000015258789
716328,67.9000015258789
716329,59.5
716330,67.9000015258789
716331,67.9000015258789
716332,67.9000015258789
716333,67.9000015258789
716334,67.9000015258789
716335,67.9000015258789
716336,67.9000015258789
716337,67.9000015258789
716338,67.9000015258789
716339,67.9000015258789
718101,46.0
718102,46.0
718103,46.0
718104,46.0
718105,46.0
718106,46.0
718107,46.0
718108,46.0
718109,46.0
718111,46.0
718112,46.0
718113,46.0
718115,46.0
718116,46.0
718117,46.0
718118,46.0
718119,46.0
718120,46.0
718121,46.0
718122,46.0
718123,46.0
718124,46.0
718125,46.0
718126,46.0
718127,46.0
718128,46.0
718129,46.0
718130,46.0
718131,46.0
718132,46.0
718133,46.0
718134,46.0
718135,46.0
718136,46.0
718138,46.0
718139,46.78999328613281
718140,46.78999328613281
718141,46.0
718142,46.0
718143,46.0
718144,46.0
718145,46.0
718146,46.0
718148,46.0
718149,46.0
718151,333.70001220703125
718152,46.0
718153,46.0
718154,46.0
718155,46.0
718156,46.0
718157,46.0
718158,46.0
718159,46.0
718160,46.0
718161,46.0
718162,46.0
718163,46.0
718164,46.0
718165,46.0
718166,46.0
718167,46.0
718168,46.0
718169,46.0
718170,46.0
718171,46.0
718172,46.0
718173,46.0
718201,59.5
718202,59.5
718203,59.5
718204,59.5
718205,59.5
718207,59.5
718208,59.5
718209,59.5
718210,59.5
718211,59.5
718212,59.5
718213,59.5
718214,59.5
718215,59.5
718216,59.5
718217,59.5
718218,59.5
718219,59.5
718220,59.5
718221,59.5
718222,59.5
718223,59.5
718224,59.5
718225,59.5
718226,59.5
718227,59.5
718228,59.5
718229,59.5
718230,59.5
718231,59.5
718232,59.5
718233,59.5
718234,59.5
718235,59.5
718236,59.5
718237,59.5
718238,59.5
718239,59.5
718240,59.5
718241,59.5
718242,59.5
718243,59.5
718244,59.5
718245,59.5
718246,59.5
718247,59.5
718248,59.5
718249,59.5
718250,59.5
718251,59.5
718252,59.5
718253,59.5
718254,59.5
718255,59.5
718256,59.5
718257,59.5
718258,59.5
718259,59.5
718260,59.5
718301,67.9000015258789
718302,67.9000015258789
718303,67.9000015258789
718304,67.9000015258789
718305,67.9000015258789
718306,67.9000015258789
718307,67.9000015258789
718308,67.9000015258789
718309,67.9000015258789
718310,67.9000015258789
718311,67.9000015258789
718312,67.9000015258789
718313,67.9000015258789
718314,67.9000015258789
718315,67.9000015258789
718316,67.9000015258789
718317,67.9000015258789
718318,67.9000015258789
718319,67.9000015258789
718320,67.9000015258789
718321,67.9000015258789
718322,67.9000015258789
718401,67.9000015258789
718402,67.9000015258789
718403,67.9000015258789
718404,67.9000015258789
718405,67.9000015258789
718406,67.9000015258789
718407,67.9000015258789
718408,67.9000015258789
718409,67.9000015258789
718410,67.9000015258789
718411,67.9000015258789
718412,67.9000015258789
718414,67.9000015258789
718415,67.9000015258789
718417,67.9000015258789
718418,67.9000015258789
718423,59.5
718424,67.9000015258789
718425,67.9000015258789
718426,67.9000015258789
718429,67.9000015258789
718431,67.9000015258789
718434,67.9000015258789
718436,59.5
718437,59.5
718438,67.9000015258789
718439,67.9000015258789
718440,67.9000015258789
718442,67.9000015258789
718443,67.9000015258789
718444,67.9000015258789
718447,67.9000015258789
718448,67.9000015258789
718449,67.9000015258789
718450,67.9000015258789
718451,67.9000015258789
718452,67.9000015258789
718453,59.5
718454,67.9000015258789
718455,67.9000015258789
718456,67.9000015258789
718457,67.9000015258789
718458,67.9000015258789
718459,67.9000015258789
718460,67.9000015258789
718461,67.9000015258789
718462,67.9000015258789
718463,67.9000015258789
718464,67.9000015258789
718465,59.5
718466,67.9000015258789
718467,67.9000015258789
718468,67.9000015258789
718469,59.5
718470,59.5
718471,59.5
718472,67.9000015258789
718473,67.9000015258789
718474,67.9000015258789
718475,67.9000015258789
718476,59.5
718477,59.5
718478,67.9000015258789
718479,67.9000015258789
718601,59.5
718602,59.5
718603,59.5
718604,59.5
718605,59.5
718606,59.5
718607,59.5
718608,59.5
718609,59.5
718610,59.5
718611,59.5
718612,59.5
718613,59.5
718614,59.5
718615,59.5
718616,59.5
718617,59.5
718618,59.5
718619,59.5
718620,59.5
718621,59.5
718622,59.5
718624,59.5
718626,59.5
718627,59.5
718628,59.5
718629,59.5
718630,59.5
718631,59.5
718632,59.5
718633,59.5
718634,59.5
718635,59.5
718636,59.5
718637,59.5
718638,59.5
718639,59.5
718640,59.5
718641,59.5
718701,59.5
718702,59.5
718703,59.5
718704,59.5
718705,59.5
718706,59.5
718707,59.5
718710,59.5
718711,59.5
718712,59.5
718713,59.5
718714,59.5
718715,59.5
718716,59.5
718717,59.5
718780,59.5
718790,59.5
718801,111.89999389648438
718802,111.89999389648438
718803,111.89999389648438
718804,111.89999389648438
718805,111.89999389648438
718806,111.89999389648438
718807,111.89999389648438
718808,111.89999389648438
718809,111.89999389648438
718810,111.89999389648438
718811,111.89999389648438
718812,111.89999389648438
718813,111.89999389648438
718814,111.89999389648438
718815,111.89999389648438
718816,111.89999389648438
718817,111.89999389648438
718818,111.89999389648438
718819,111.89999389648438
718820,111.89999389648438
718821,111.89999389648438
718822,111.89999389648438
718823,111.89999389648438
718824,111.89999389648438
718825,111.89999389648438
718826,111.89999389648438
718827,111.89999389648438
718828,147.89999389648438
718829,147.89999389648438
718830,147.89999389648438
718831,147.89999389648438
718832,147.89999389648438
718833,147.89999389648438
718834,111.89999389648438
718835,111.89999389648438
718836,111.89999389648438
718837,111.89999389648438
718838,147.89999389648438
718840,111.89999389648438
718841,111.89999389648438
718842,111.89999389648438
718843,111.89999389648438
718844,111.89999389648438
718845,111.89999389648438
718846,111.89999389648438
718847,111.89999389648438
718848,111.89999389648438
718849,111.89999389648438
718850,111.89999389648438
718851,111.89999389648438
718852,111.89999389648438
718853,111.89999389648438
718854,111.89999389648438
718855,111.89999389648438
718856,111.89999389648438
718857,111.89999389648438
718858,111.89999389648438
718859,111.89999389648438
718860,111.89999389648438
718861,111.89999389648438
718862,111.89999389648438
718863,111.89999389648438
718864,111.89999389648438
718865,111.89999389648438
718866,111.89999389648438
718867,111.89999389648438
718868,111.89999389648438
718869,111.89999389648438
718870,111.89999389648438
718871,111.89999389648438
718872,111.89999389648438
719101,108.89999389648438
